element,sp_num,obs_wl_air(nm),Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
Al,1,"=""220.4660""","=""4.37e+07""","=""6.37e-02""","=""9.25e-01""","=""-0.895""",C+,"=""0.000""","=""45344.165""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.6d""","=""2D""","=""3/2""",2,4,,
Al,1,"=""221.0046""","=""5.20e+07""","=""5.72e-02""","=""1.67e+00""","=""-0.641""",C+,"=""112.061""","=""45345.594""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.6d""","=""2D""","=""5/2""",4,6,,
Al,2,"=""224.3045""","=""3.03e+07""","=""6.85e-02""","=""5.06e-01""","=""-1.164""",C+,"=""95350.60""","=""139918.98""","=""3s.4s""","=""1S""","=""0""","=""3s.7p""","=""1P*""","=""1""",1,3,,
Al,1,"=""225.7999""","=""3.77e+06""","=""2.88e-03""","=""4.29e-02""","=""-2.239""",C,"=""0.000""","=""44273.133""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.7s""","=""2S""","=""1/2""",2,2,,
Al,1,"=""226.3462""","=""6.83e+07""","=""1.05e-01""","=""1.57e+00""","=""-0.678""",B,"=""0.000""","=""44166.398""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.5d""","=""2D""","=""3/2""",2,4,,
Al,1,"=""226.3731""","=""7.5e+06""","=""2.9e-03""","=""8.6e-02""","=""-1.94""",C,"=""112.061""","=""44273.133""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.7s""","=""2S""","=""1/2""",4,2,,
Al,1,"=""226.9096""","=""7.58e+07""","=""8.78e-02""","=""2.62e+00""","=""-0.454""",B,"=""112.061""","=""44168.847""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.5d""","=""2D""","=""5/2""",4,6,,
Al,1,"=""226.9220""","=""1.26e+07""","=""9.75e-03""","=""2.91e-01""","=""-1.409""",C+,"=""112.061""","=""44166.398""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.5d""","=""2D""","=""3/2""",4,4,,
Al,2,"=""232.4199""","=""3.46e+07""","=""3.61e-02""","=""1.93e+00""","=""-0.597""",C+,"=""95549.42""","=""138561.8""","=""3s.3d""","=""3D""","=""3""","=""3s.6f""","=""3F*""","=""4""",7,9,,
Al,2,"=""232.5436""","=""3.85e+06""","=""3.12e-03""","=""1.67e-01""","=""-1.661""",C,"=""95549.42""","=""138538.9""","=""3s.3d""","=""3D""","=""3""","=""3s.6f""","=""3F*""","=""3""",7,7,,
Al,2,"=""232.5494""","=""3.07e+07""","=""3.49e-02""","=""1.34e+00""","=""-0.758""",C+,"=""95550.51""","=""138538.9""","=""3s.3d""","=""3D""","=""2""","=""3s.6f""","=""3F*""","=""3""",5,7,,
Al,2,"=""232.6445""","=""5.38e+06""","=""4.37e-03""","=""1.67e-01""","=""-1.661""",C,"=""95550.51""","=""138521.4""","=""3s.3d""","=""3D""","=""2""","=""3s.6f""","=""3F*""","=""2""",5,5,,
Al,2,"=""232.6496""","=""2.90e+07""","=""3.92e-02""","=""9.01e-01""","=""-0.930""",C+,"=""95551.44""","=""138521.4""","=""3s.3d""","=""3D""","=""1""","=""3s.6f""","=""3F*""","=""2""",3,5,,
Al,1,"=""236.7052""","=""7.61e+07""","=""1.28e-01""","=""2.00e+00""","=""-0.592""",C+,"=""0.000""","=""42233.742""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.4d""","=""2D""","=""3/2""",2,4,,
Al,1,"=""237.2070""","=""5.76e+06""","=""4.86e-03""","=""7.59e-02""","=""-2.012""",C,"=""0.000""","=""42144.411""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.6s""","=""2S""","=""1/2""",2,2,,
Al,1,"=""237.3124""","=""9.07e+07""","=""1.15e-01""","=""3.59e+00""","=""-0.337""",B,"=""112.061""","=""42237.783""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.4d""","=""2D""","=""5/2""",4,6,,
Al,1,"=""237.3349""","=""1.51e+07""","=""1.28e-02""","=""4.00e-01""","=""-1.291""",C+,"=""112.061""","=""42233.742""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.4d""","=""2D""","=""3/2""",4,4,,
Al,1,"=""237.8368""","=""1.14e+07""","=""4.84e-03""","=""1.52e-01""","=""-1.713""",C+,"=""112.061""","=""42144.411""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.6s""","=""2S""","=""1/2""",4,2,,
Al,2,"=""247.5252""","=""4.60e+07""","=""2.54e-02""","=""1.03e+00""","=""-0.896""",C+,"=""85481.35""","=""125869.015""","=""3p2""","=""1D""","=""2""","=""3s.5p""","=""1P*""","=""1""",5,3,,
Al,2,"=""252.6486""","=""1.94e+07""","=""5.58e-02""","=""4.64e-01""","=""-1.253""",C+,"=""95350.60""","=""134919.40""","=""3s.4s""","=""1S""","=""0""","=""3s.6p""","=""1P*""","=""1""",1,3,,
Al,1,"=""256.7984""","=""1.92e+07""","=""3.80e-02""","=""6.43e-01""","=""-1.119""",B,"=""0.000""","=""38929.413""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.nd""","=""y 2D""","=""3/2""",2,4,,
Al,1,"=""257.5094""","=""3.60e+07""","=""5.37e-02""","=""1.82e+00""","=""-0.668""",C+,"=""112.061""","=""38933.968""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.nd""","=""y 2D""","=""5/2""",4,6,,
Al,1,"=""257.5393""","=""5.99e+06""","=""5.96e-03""","=""2.02e-01""","=""-1.623""",C+,"=""112.061""","=""38929.413""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.nd""","=""y 2D""","=""3/2""",4,4,,
Al,2,"=""263.1546""","=""2.48e+08""","=""3.60e-01""","=""1.56e+01""","=""0.255""",B+,"=""85481.35""","=""123470.5""","=""3p2""","=""1D""","=""2""","=""3s.4f""","=""1F*""","=""3""",5,7,,
Al,2,"=""263.7689""","=""2.85e+07""","=""3.83e-02""","=""2.33e+00""","=""-0.572""",C+,"=""95549.42""","=""133450.07""","=""3s.3d""","=""3D""","=""3""","=""3s.5f""","=""3F*""","=""4""",7,9,,
Al,2,"=""263.8178""","=""3.18e+06""","=""3.32e-03""","=""2.02e-01""","=""-1.634""",C+,"=""95549.42""","=""133443.08""","=""3s.3d""","=""3D""","=""3""","=""3s.5f""","=""3F*""","=""3""",7,7,,
Al,2,"=""263.8255""","=""2.53e+07""","=""3.70e-02""","=""1.61e+00""","=""-0.733""",C+,"=""95550.51""","=""133443.08""","=""3s.3d""","=""3D""","=""2""","=""3s.5f""","=""3F*""","=""3""",5,7,,
Al,2,"=""263.8627""","=""4.44e+06""","=""4.64e-03""","=""2.02e-01""","=""-1.635""",C+,"=""95550.51""","=""133437.71""","=""3s.3d""","=""3D""","=""2""","=""3s.5f""","=""3F*""","=""2""",5,5,,
Al,2,"=""263.8690""","=""2.40e+07""","=""4.17e-02""","=""1.09e+00""","=""-0.903""",C+,"=""95551.44""","=""133437.71""","=""3s.3d""","=""3D""","=""1""","=""3s.5f""","=""3F*""","=""2""",3,5,,
Al,1,"=""265.2484""","=""1.42e+07""","=""1.50e-02""","=""2.62e-01""","=""-1.523""",B,"=""0.000""","=""37689.407""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.5s""","=""2S""","=""1/2""",2,2,,
Al,1,"=""266.0393""","=""2.84e+07""","=""1.51e-02""","=""5.28e-01""","=""-1.219""",B,"=""112.061""","=""37689.407""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.5s""","=""2S""","=""1/2""",4,2,,
Al,2,"=""266.9157""","=""3.28e+03""","=""1.05e-05""","=""9.24e-05""","=""-4.979""",A+,"=""0.00""","=""37453.91""","=""2p6.3s2""","=""1S""","=""0""","=""3s.3p""","=""3P*""","=""1""",1,3,,
Al,2,"=""281.6185""","=""3.57e+08""","=""1.42e-01""","=""3.94e+00""","=""-0.371""",A,"=""59852.02""","=""95350.60""","=""3s.3p""","=""1P*""","=""1""","=""3s.4s""","=""1S""","=""0""",3,1,,
Al,2,"=""299.4277""","=""4.04e+06""","=""1.63e-02""","=""1.61e-01""","=""-1.788""",C,"=""105427.52""","=""138814.87""","=""3s.4p""","=""3P*""","=""0""","=""3s.6d""","=""3D""","=""1""",1,3,,
Al,2,"=""299.5525""","=""5.44e+06""","=""1.22e-02""","=""3.61e-01""","=""-1.437""",C+,"=""105441.50""","=""138814.87""","=""3s.4p""","=""3P*""","=""1""","=""3s.6d""","=""3D""","=""2""",3,5,,
Al,2,"=""299.8150""","=""7.26e+06""","=""1.37e-02""","=""6.76e-01""","=""-1.164""",C+,"=""105470.93""","=""138815.12""","=""3s.4p""","=""3P*""","=""2""","=""3s.6d""","=""3D""","=""3""",5,7,,
Al,2,"=""302.2789""","=""2.68e+06""","=""1.10e-02""","=""1.09e-01""","=""-1.959""",E,"=""105427.52""","=""138499.89""","=""3s.4p""","=""3P*""","=""0""","=""3s.7s""","=""3S""","=""1""",1,3,,
Al,2,"=""302.4077""","=""8.02e+06""","=""1.10e-02""","=""3.29e-01""","=""-1.481""",D,"=""105441.50""","=""138499.89""","=""3s.4p""","=""3P*""","=""1""","=""3s.7s""","=""3S""","=""1""",3,3,,
Al,2,"=""302.6761""","=""1.33e+07""","=""1.10e-02""","=""5.48e-01""","=""-1.260""",C,"=""105470.93""","=""138499.89""","=""3s.4p""","=""3P*""","=""2""","=""3s.7s""","=""3S""","=""1""",5,3,,
Al,2,"=""307.4691""","=""9.02e+06""","=""1.79e-02""","=""9.07e-01""","=""-1.048""",C,"=""110089.83""","=""142604.05""","=""3s.3d""","=""1D""","=""2""","=""3s.7f""","=""1F*""","=""3""",5,7,,
Al,1,"=""308.21529""","=""5.87e+07""","=""1.67e-01""","=""3.40e+00""","=""-0.476""",B+,"=""0.000""","=""32435.453""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.3d""","=""2D""","=""3/2""",2,4,,
Al,2,"=""308.8516""","=""1.08e+07""","=""2.57e-02""","=""7.84e-01""","=""-1.113""",B,"=""106920.56""","=""139289.15""","=""3s.4p""","=""1P*""","=""1""","=""3s.6d""","=""1D""","=""2""",3,5,,
Al,1,"=""309.27099""","=""7.29e+07""","=""1.57e-01""","=""6.39e+00""","=""-0.202""",B+,"=""112.061""","=""32436.796""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.3d""","=""2D""","=""5/2""",4,6,,
Al,1,"=""309.28386""","=""1.16e+07""","=""1.67e-02""","=""6.81e-01""","=""-1.175""",B,"=""112.061""","=""32435.453""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.3d""","=""2D""","=""3/2""",4,4,,
Al,2,"=""327.5767""","=""7.41e+06""","=""3.58e-02""","=""3.86e-01""","=""-1.446""",C+,"=""95350.60""","=""125869.015""","=""3s.4s""","=""1S""","=""0""","=""3s.5p""","=""1P*""","=""1""",1,3,,
Al,2,"=""331.3344""","=""1.33e+06""","=""1.56e-03""","=""1.19e-01""","=""-1.962""",C,"=""95549.42""","=""125721.703""","=""3s.3d""","=""3D""","=""3""","=""3s.5p""","=""3P*""","=""2""",7,5,,
Al,2,"=""331.3470""","=""2.37e+05""","=""3.90e-04""","=""2.13e-02""","=""-2.710""",D,"=""95550.51""","=""125721.703""","=""3s.3d""","=""3D""","=""2""","=""3s.5p""","=""3P*""","=""2""",5,5,,
Al,2,"=""331.4883""","=""1.18e+06""","=""1.17e-03""","=""6.39e-02""","=""-2.233""",C,"=""95550.51""","=""125708.828""","=""3s.3d""","=""3D""","=""2""","=""3s.5p""","=""3P*""","=""1""",5,3,,
Al,2,"=""331.4981""","=""3.94e+05""","=""6.50e-04""","=""2.13e-02""","=""-2.710""",D,"=""95551.44""","=""125708.828""","=""3s.3d""","=""3D""","=""1""","=""3s.5p""","=""3P*""","=""1""",3,3,,
Al,2,"=""331.5608""","=""1.58e+06""","=""8.67e-04""","=""2.84e-02""","=""-2.585""",D,"=""95551.44""","=""125703.14""","=""3s.3d""","=""3D""","=""1""","=""3s.5p""","=""3P*""","=""0""",3,1,,
Al,2,"=""335.1462""","=""1.04e+07""","=""1.05e-02""","=""5.81e-01""","=""-1.280""",C,"=""110089.83""","=""139918.98""","=""3s.3d""","=""1D""","=""2""","=""3s.7p""","=""1P*""","=""1""",5,3,,
Al,2,"=""342.8894""","=""5.78e+06""","=""1.43e-02""","=""8.06e-01""","=""-1.146""",C+,"=""110089.83""","=""139245.343""","=""3s.3d""","=""1D""","=""2""","=""3s.6f""","=""1F*""","=""3""",5,7,,
Al,2,"=""353.4856""","=""8.11e+05""","=""4.56e-03""","=""5.31e-02""","=""-2.341""",C,"=""111637.33""","=""139918.98""","=""3p2""","=""1S""","=""0""","=""3s.7p""","=""1P*""","=""1""",1,3,,
Al,2,"=""358.6557""","=""2.35e+08""","=""5.83e-01""","=""4.82e+01""","=""0.611""",A,"=""95549.42""","=""123423.36""","=""3s.3d""","=""3D""","=""3""","=""3s.4f""","=""3F*""","=""4""",7,9,,
Al,2,"=""358.6920""","=""2.62e+07""","=""5.05e-02""","=""4.18e+00""","=""-0.452""",B,"=""95549.42""","=""123420.45""","=""3s.3d""","=""3D""","=""3""","=""3s.4f""","=""3F*""","=""3""",7,7,,
Al,2,"=""358.7068""","=""2.09e+08""","=""5.64e-01""","=""3.33e+01""","=""0.450""",B+,"=""95550.51""","=""123420.45""","=""3s.3d""","=""3D""","=""2""","=""3s.4f""","=""3F*""","=""3""",5,7,,
Al,2,"=""358.7185""","=""1.03e+06""","=""1.42e-03""","=""1.17e-01""","=""-2.003""",C,"=""95549.42""","=""123418.48""","=""3s.3d""","=""3D""","=""3""","=""3s.4f""","=""3F*""","=""2""",7,5,,
Al,2,"=""358.7330""","=""3.66e+07""","=""7.07e-02""","=""4.18e+00""","=""-0.452""",B,"=""95550.51""","=""123418.48""","=""3s.3d""","=""3D""","=""2""","=""3s.4f""","=""3F*""","=""2""",5,5,,
Al,2,"=""358.7450""","=""1.97e+08""","=""6.35e-01""","=""2.25e+01""","=""0.280""",B+,"=""95551.44""","=""123418.48""","=""3s.3d""","=""3D""","=""1""","=""3s.4f""","=""3F*""","=""2""",3,5,,
Al,2,"=""364.9200""","=""1.26e+07""","=""7.57e-02""","=""9.10e-01""","=""-1.121""",C+,"=""105427.52""","=""132822.95""","=""3s.4p""","=""3P*""","=""0""","=""3s.5d""","=""3D""","=""1""",1,3,,
Al,2,"=""365.1078""","=""1.70e+07""","=""5.67e-02""","=""2.05e+00""","=""-0.769""",C+,"=""105441.50""","=""132822.80""","=""3s.4p""","=""3P*""","=""1""","=""3s.5d""","=""3D""","=""2""",3,5,,
Al,2,"=""365.4991""","=""2.26e+07""","=""6.35e-02""","=""3.82e+00""","=""-0.498""",B,"=""105470.93""","=""132822.89""","=""3s.4p""","=""3P*""","=""2""","=""3s.5d""","=""3D""","=""3""",5,7,,
Al,2,"=""370.3219""","=""3.23e+07""","=""1.11e-01""","=""4.05e+00""","=""-0.478""",B+,"=""106920.56""","=""133916.368""","=""3s.4p""","=""1P*""","=""1""","=""3s.5d""","=""1D""","=""2""",3,5,,
Al,2,"=""373.1952""","=""4.95e+06""","=""3.10e-02""","=""3.81e-01""","=""-1.509""",C+,"=""105427.52""","=""132215.517""","=""3s.4p""","=""3P*""","=""0""","=""3s.6s""","=""3S""","=""1""",1,3,,
Al,2,"=""373.3908""","=""1.48e+07""","=""3.10e-02""","=""1.14e+00""","=""-1.032""",C+,"=""105441.50""","=""132215.517""","=""3s.4p""","=""3P*""","=""1""","=""3s.6s""","=""3S""","=""1""",3,3,,
Al,2,"=""373.8015""","=""2.46e+07""","=""3.09e-02""","=""1.90e+00""","=""-0.811""",C+,"=""105470.93""","=""132215.517""","=""3s.4p""","=""3P*""","=""2""","=""3s.6s""","=""3S""","=""1""",5,3,,
Al,2,"=""386.6160""","=""4.26e+07""","=""3.18e-02""","=""1.22e+00""","=""-1.020""",B,"=""106920.56""","=""132778.633""","=""3s.4p""","=""1P*""","=""1""","=""3s.6s""","=""1S""","=""0""",3,1,,
Al,2,"=""390.0675""","=""4.8e+05""","=""1.8e-03""","=""7.0e-02""","=""-2.26""",E,"=""59852.02""","=""85481.35""","=""3s.3p""","=""1P*""","=""1""","=""3p2""","=""1D""","=""2""",3,5,,
Al,1,"=""394.40058""","=""4.99e+07""","=""1.16e-01""","=""3.02e+00""","=""-0.635""",B+,"=""0.000""","=""25347.756""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.4s""","=""2S""","=""1/2""",2,2,,
Al,1,"=""396.15200""","=""9.85e+07""","=""1.16e-01""","=""6.05e+00""","=""-0.333""",B+,"=""112.061""","=""25347.756""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.4s""","=""2S""","=""1/2""",4,2,,
Al,2,"=""399.5838""","=""7.05e+06""","=""2.17e-02""","=""2.00e+00""","=""-0.818""",C,"=""121483.50""","=""146502.47""","=""3s.4d""","=""3D""","=""3""","=""3s.9f""","=""3F*""","=""4""",7,9,,
Al,2,"=""399.6075""","=""7.85e+05""","=""1.88e-03""","=""1.73e-01""","=""-1.881""",E,"=""121483.50""","=""146500.99""","=""3s.4d""","=""3D""","=""3""","=""3s.9f""","=""3F*""","=""3""",7,7,,
Al,2,"=""399.6143""","=""6.26e+06""","=""2.10e-02""","=""1.38e+00""","=""-0.979""",D,"=""121483.92""","=""146500.99""","=""3s.4d""","=""3D""","=""2""","=""3s.9f""","=""3F*""","=""3""",5,7,,
Al,2,"=""399.6323""","=""1.10e+06""","=""2.63e-03""","=""1.73e-01""","=""-1.881""",E,"=""121483.92""","=""146499.90""","=""3s.4d""","=""3D""","=""2""","=""3s.9f""","=""3F*""","=""2""",5,5,,
Al,2,"=""399.6370""","=""5.91e+06""","=""2.36e-02""","=""9.32e-01""","=""-1.150""",D,"=""121484.252""","=""146499.90""","=""3s.4d""","=""3D""","=""1""","=""3s.9f""","=""3F*""","=""2""",3,5,,
Al,2,"=""402.65""","=""1.16e+07""","=""1.69e-02""","=""1.12e+00""","=""-1.073""",C+,"=""110089.83""","=""134919.40""","=""3s.3d""","=""1D""","=""2""","=""3s.6p""","=""1P*""","=""1""",5,3,,
Al,2,"=""422.6813""","=""9.37e+06""","=""3.23e-02""","=""3.15e+00""","=""-0.646""",C+,"=""121483.50""","=""145135.31""","=""3s.4d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""4""",7,9,,
Al,2,"=""422.7420""","=""1.04e+06""","=""2.80e-03""","=""2.73e-01""","=""-1.708""",D,"=""121483.50""","=""145131.93""","=""3s.4d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""3""",7,7,,
Al,2,"=""422.7492""","=""8.31e+06""","=""3.12e-02""","=""2.17e+00""","=""-0.807""",C+,"=""121483.92""","=""145131.93""","=""3s.4d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""3""",5,7,,
Al,2,"=""422.7875""","=""4.11e+04""","=""7.88e-05""","=""7.68e-03""","=""-3.258""",E,"=""121483.50""","=""145129.51""","=""3s.4d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""2""",7,5,,
Al,2,"=""422.7945""","=""1.46e+06""","=""3.91e-03""","=""2.72e-01""","=""-1.709""",D,"=""121483.92""","=""145129.51""","=""3s.4d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""2""",5,5,,
Al,2,"=""422.7999""","=""7.85e+06""","=""3.51e-02""","=""1.47e+00""","=""-0.978""",C,"=""121484.252""","=""145129.51""","=""3s.4d""","=""3D""","=""1""","=""3s.8f""","=""3F*""","=""2""",3,5,,
Al,2,"=""434.6897""","=""4.18e+06""","=""1.66e-02""","=""1.19e+00""","=""-1.081""",D,"=""123418.48""","=""146416.9""","=""3s.4f""","=""3F*""","=""2""","=""3s.9g""","=""3G""","=""3""",5,7,,
Al,2,"=""458.5817""","=""1.00e+07""","=""4.07e-02""","=""4.30e+00""","=""-0.545""",C+,"=""121483.50""","=""143283.75""","=""3s.4d""","=""3D""","=""3""","=""3s.7f""","=""3F*""","=""4""",7,9,,
Al,2,"=""458.8082""","=""1.12e+06""","=""3.53e-03""","=""3.73e-01""","=""-1.607""",D,"=""121483.50""","=""143272.86""","=""3s.4d""","=""3D""","=""3""","=""3s.7f""","=""3F*""","=""3""",7,7,,
Al,2,"=""458.8191""","=""8.91e+06""","=""3.94e-02""","=""2.98e+00""","=""-0.706""",C+,"=""121483.92""","=""143272.86""","=""3s.4d""","=""3D""","=""2""","=""3s.7f""","=""3F*""","=""3""",5,7,,
Al,2,"=""458.9674""","=""1.56e+06""","=""4.93e-03""","=""3.73e-01""","=""-1.608""",D,"=""121483.92""","=""143265.83""","=""3s.4d""","=""3D""","=""2""","=""3s.7f""","=""3F*""","=""2""",5,5,,
Al,2,"=""458.9742""","=""8.41e+06""","=""4.43e-02""","=""2.01e+00""","=""-0.876""",C,"=""121484.252""","=""143265.83""","=""3s.4d""","=""3D""","=""1""","=""3s.7f""","=""3F*""","=""2""",3,5,,
Al,2,"=""466.3056""","=""5.81e+07""","=""1.14e-01""","=""8.73e+00""","=""-0.244""",A+,"=""85481.35""","=""106920.56""","=""3p2""","=""1D""","=""2""","=""3s.4p""","=""1P*""","=""1""",5,3,,
Al,2,"=""527.862""","=""1.11e+06""","=""1.39e-02""","=""2.42e-01""","=""-1.857""",D,"=""125703.14""","=""144642.0""","=""3s.5p""","=""3P*""","=""0""","=""3s.8d""","=""3D""","=""1""",1,3,,
Al,2,"=""528.0214""","=""1.49e+06""","=""1.04e-02""","=""5.43e-01""","=""-1.506""",D,"=""125708.828""","=""144642.18""","=""3s.5p""","=""3P*""","=""1""","=""3s.8d""","=""3D""","=""2""",3,5,,
