element,sp_num,obs_wl_air(nm),Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
Al,1,"=""669.6015""","=""1.00e+06""","=""1.35e-02""","=""5.95e-01""","=""-1.569""",C+,"=""25347.756""","=""40277.883""","=""3s2.4s""","=""2S""","=""1/2""","=""3s2.5p""","=""2P*""","=""3/2""",2,4,,
Al,2,"=""669.639""","=""2.74e+05""","=""3.07e-03""","=""2.03e-01""","=""-2.036""",C+,"=""120092.919""","=""135022.127""","=""3s.5s""","=""3S""","=""1""","=""3s.6p""","=""3P*""","=""2""",3,5,,
Al,1,"=""669.8673""","=""1.00e+06""","=""6.75e-03""","=""2.98e-01""","=""-1.870""",C+,"=""25347.756""","=""40271.978""","=""3s2.4s""","=""2S""","=""1/2""","=""3s2.5p""","=""2P*""","=""1/2""",2,2,,
Al,2,"=""669.946""","=""2.73e+05""","=""1.84e-03""","=""1.22e-01""","=""-2.258""",C,"=""120092.919""","=""135015.701""","=""3s.5s""","=""3S""","=""1""","=""3s.6p""","=""3P*""","=""1""",3,3,,
Al,2,"=""681.669""","=""1.20e+07""","=""2.51e-01""","=""5.63e+00""","=""-0.600""",B,"=""105427.52""","=""120092.919""","=""3s.4p""","=""3P*""","=""0""","=""3s.5s""","=""3S""","=""1""",1,3,,
Al,2,"=""682.348""","=""3.59e+07""","=""2.51e-01""","=""1.69e+01""","=""-0.123""",B+,"=""105441.50""","=""120092.919""","=""3s.4p""","=""3P*""","=""1""","=""3s.5s""","=""3S""","=""1""",3,3,,
Al,2,"=""683.714""","=""5.94e+07""","=""2.50e-01""","=""2.81e+01""","=""0.097""",B+,"=""105470.93""","=""120092.919""","=""3s.4p""","=""3P*""","=""2""","=""3s.5s""","=""3S""","=""1""",5,3,,
Al,1,"=""690.64""","=""1.15e+06""","=""1.10e-02""","=""1.50e+00""","=""-1.180""",C,"=""32436.796""","=""[46912.38]""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.9f""","=""2F*""","=""7/2""",6,8,,
Al,2,"=""691.793""","=""9.90e+06""","=""9.95e-02""","=""1.13e+01""","=""-0.303""",B+,"=""124794.13""","=""139245.343""","=""3s.4d""","=""1D""","=""2""","=""3s.6f""","=""1F*""","=""3""",5,7,,
Al,2,"=""691.996""","=""1.00e+08""","=""2.39e-01""","=""1.64e+01""","=""-0.144""",A,"=""106920.56""","=""121366.725""","=""3s.4p""","=""1P*""","=""1""","=""3s.5s""","=""1S""","=""0""",3,1,,
Al,2,"=""704.206""","=""5.78e+07""","=""7.16e-01""","=""4.98e+01""","=""0.332""",A+,"=""91274.50""","=""105470.93""","=""3s.4s""","=""3S""","=""1""","=""3s.4p""","=""3P*""","=""2""",3,5,,
Al,2,"=""705.660""","=""5.74e+07""","=""4.29e-01""","=""2.99e+01""","=""0.110""",A,"=""91274.50""","=""105441.50""","=""3s.4s""","=""3S""","=""1""","=""3s.4p""","=""3P*""","=""1""",3,3,,
Al,2,"=""706.364""","=""5.73e+07""","=""1.43e-01""","=""9.97e+00""","=""-0.368""",A,"=""91274.50""","=""105427.52""","=""3s.4s""","=""3S""","=""1""","=""3s.4p""","=""3P*""","=""0""",3,1,,
Al,1,"=""708.3968""","=""1.54e+06""","=""1.74e-02""","=""1.62e+00""","=""-1.157""",C+,"=""32435.453""","=""46547.942""","=""3s2.3d""","=""2D""","=""3/2""","=""3s2.8f""","=""2F*""","=""5/2""",4,6,,
Al,1,"=""708.4644""","=""1.65e+06""","=""1.66e-02""","=""2.32e+00""","=""-1.002""",C+,"=""32436.796""","=""46547.942""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.8f""","=""2F*""","=""7/2""",6,8,,
