# Experimental LIBS spectrum: Na I D doublet (D2 588.995 nm, D1 589.592 nm)
# Source: P. B. Hansen, PhD thesis "Laser-Induced Breakdown Spectroscopy
#   Under Martian Conditions" (docs/Literature/hansen_peder-LIBS_martian_conditions.pdf),
#   Figure 4.4.5 (thesis p. 78 / PDF p. 92), bottom-left panel.
# Sample: pressed pellet of mixed carbonates CaCO3+MgCO3+MnCO3+Na2CO3
#   (Na 12.68 at%), in experimentally simulated Martian atmosphere
#   (0.7 kPa, mainly CO2; thesis p. 20).
# Acquisition: delay time 500 ns, integration (gate) time 50 ns, 35 mJ
#   on sample, 10 Hz, 30 accumulated shots; LTB Aryelle Butterfly
#   echelle + Andor iStar ICCD; entrance slit 50x50 um2; intensity-
#   calibrated (signal prop. photons/nm); FWHM_instr = 0.065 nm at
#   656.3 nm (thesis Sec. 4.4.2).
# Plasma parameters measured in the same work at 500 ns delay:
#   n_e = 7e22 m^-3 (H-alpha Stark broadening, thesis Fig. 4.4.4)
#   T = (12822 +/- 292) K (multi-element Saha-Boltzmann, Fig. 4.4.6a)
#   plasma extent ~4 mm total (thesis Sec. 4.4.3).
# Extraction: see examples/digitize_hansen_naD.py (method in its
#   docstring). 569 of 1474 columns had the dashed
#   Voigt-fit overlay contributing to the stroke span (flag column).
#   1474 points, 586.772-592.921 nm, ~4.2 pm/point.
# columns: wavelength_nm,intensity,fit_overlay_contributed
587.71118,1.664,0
587.71535,1.664,0
587.71953,2.219,0
587.72370,2.774,0
587.72788,2.774,0
587.73205,3.328,0
587.73622,3.328,0
587.74040,3.328,0
587.74457,3.328,0
587.74875,2.774,0
587.75292,2.219,0
587.75710,1.110,1
587.76127,1.664,1
587.76545,1.664,1
587.76962,1.664,1
587.77380,1.110,1
587.77797,1.110,1
587.78215,1.110,1
587.78632,1.110,1
587.79049,1.110,1
587.79467,1.664,1
587.79884,1.664,1
587.80302,1.664,1
587.80719,1.664,1
587.81137,1.664,1
587.81554,1.664,1
587.81972,2.219,1
587.82389,2.219,1
587.82807,2.219,1
587.83224,2.219,1
587.83642,2.219,1
587.84059,2.774,1
587.84476,2.774,1
587.84894,2.774,1
587.85311,2.774,1
587.85729,3.328,1
587.86146,3.328,1
587.86564,3.328,1
587.86981,3.883,1
587.87399,3.883,1
587.87816,3.883,1
587.88234,3.328,1
587.88651,3.328,1
587.89069,2.774,1
587.89486,2.774,1
587.89903,2.219,1
587.90321,2.219,1
587.90738,2.219,1
587.91156,2.219,1
587.91573,1.664,1
587.91991,2.219,0
587.92408,2.219,0
587.92826,2.219,0
587.93243,2.219,0
587.93661,1.110,0
587.94078,1.110,0
587.94496,1.110,0
587.94913,1.110,0
587.95330,1.110,0
587.95748,1.110,0
587.96165,2.219,0
587.96583,2.219,0
587.97000,2.219,0
587.97418,2.774,0
587.97835,3.328,0
587.98253,3.883,0
587.98670,3.883,0
587.99088,3.328,1
587.99505,3.328,1
587.99923,3.328,1
588.00340,2.774,1
588.00757,1.664,1
588.01175,1.664,1
588.01592,1.664,1
588.02010,1.664,1
588.02427,1.664,1
588.02845,1.664,1
588.03262,1.664,1
588.03680,1.664,1
588.04097,1.664,1
588.04515,1.664,1
588.04932,1.664,1
588.05350,1.664,1
588.05767,1.664,1
